Poll	Start	End	Trump	Carson	Rubio	Fiorina	Bush	Cruz	Kasich	Huckabee	Paul	Christie	Jindal	Santorum	Graham	Pataki	Spread
CNN/ORCCNN/ORC	3/7	3/9	--	--	5	--	9	8	--	10	16	8	--	3	--	--	Paul +5
PPP (D)PPP (D)	3/6	3/9	--	--	6	--	15	11	--	18	14	14	4	--	--	--	Huckabee +3
McClatchy/MaristMcClatchy	2/4	2/9	--	--	12	--	8	5	1	13	9	13	--	2	--	--	Tie
CNN/ORCCNN/ORC	1/31	2/2	--	--	10	--	9	10	--	16	14	12	--	5	--	--	Huckabee +2
PPP (D)PPP (D)	1/23	1/26	--	--	8	--	14	8	--	16	11	13	5	--	--	--	Huckabee +2
ABC/Wash PostABC/WP	1/20	1/23	--	--	10	--	18	12	--	--	11	14	--	--	--	--	Bush +4
QuinnipiacQuinnipiac	1/15	1/19	--	--	8	--	11	9	2	--	13	12	3	--	--	--	Paul +1
NBC/MaristNBC/Marist	1/12	1/14	--	--	7	--	8	5	--	--	9	16	3	5	--	--	Christie +7
FOX NewsFOX News	12/14	12/16	--	--	8	--	12	12	--	--	11	16	--	3	--	--	Christie +4
PPP (D)PPP (D)	12/12	12/15	--	--	7	--	10	14	--	13	11	19	3	--	--	--	Christie +5
QuinnipiacQuinnipiac	12/3	12/9	--	--	7	--	11	13	2	--	14	17	3	--	--	--	Christie +3
McClatchy/MaristMcClatchy	12/3	12/5	--	--	7	--	10	10	--	--	12	18	--	4	--	--	Christie +6
CNN/ORCCNN/ORC	11/18	11/20	--	--	10	--	5	11	--	--	15	24	--	6	--	--	Christie +9
RasmussenRasmussen	11/7	11/8	--	--	16	--	12	12	--	--	20	22	--	--	--	--	Christie +2
PPP (D)PPP (D)	10/29	10/31	--	--	10	--	14	15	--	--	16	16	6	5	--	--	Tie
QuinnipiacQuinnipiac	9/23	9/29	--	--	12	--	11	10	--	--	17	13	3	--	--	--	Paul +4
PPP (D)PPP (D)	9/25	9/26	--	--	10	--	11	20	--	--	17	14	4	3	--	--	Cruz +3
CNN/ORCCNN/ORC	9/6	9/8	--	--	9	--	10	7	--	--	13	17	--	5	--	--	Christie +4
RasmussenRasmussen	8/1	8/2	--	--	18	--	16	--	--	--	15	21	--	--	--	--	Christie +3
PPP (D)PPP (D)	7/19	7/21	--	--	10	--	13	12	--	--	16	13	4	4	--	--	Paul +3
McClatchy/MaristMcClatchy	7/15	7/18	--	--	12	--	10	7	--	--	9	15	1	2	--	--	Christie +3
PPP (D)PPP (D)	5/6	5/9	--	--	16	--	15	7	--	--	14	15	3	5	--	--	Rubio +1
QuinnipiacQuinnipiac	3/26	4/1	--	--	19	--	10	--	--	--	15	14	3	--	--	--	Rubio +4
PPP (D)PPP (D)	3/27	3/30	--	--	21	--	12	--	--	--	17	15	4	5	--	--	Rubio +4
PPP (D)PPP (D)	1/31	2/3	--	--	22	--	13	--	--	11	10	13	4	--	--	--	Rubio +9
PPP (D)PPP (D)	1/3	1/6	--	--	21	--	14	--	--	15	5	14	3	--	--	--	Rubio +6
PPP (D)PPP (D)	11/30	12/2	--	--	18	--	12	--	--	11	7	14	--	4	--	--	Rubio +4
